DATAFLOW,LAST UPDATE,freq,unit,language,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU27_2020,2015,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU27_2020,2016,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU27_2020,2017,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU27_2020,2018,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU27_2020,2019,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU27_2020,2020,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU27_2020,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU28,2017,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,EU28,2018,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2013,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2014,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2015,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2016,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2017,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2018,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2019,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2020,,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FI,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2017,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2018,0.0,e
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2019,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,FR,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2012,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HR,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2012,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2015,0.1,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,HU,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2012,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2013,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2014,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2015,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2016,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2017,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2018,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2019,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2020,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IE,2021,,z
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IS,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2015,0.0,d
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,IT,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LI,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LT,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LU,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2012,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2018,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2019,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2020,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,LV,2021,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,MK,2013,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,MK,2014,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,MK,2015,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,MK,2016,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,MK,2017,0.0,
ESTAT:EDUC_UOE_LANG01(1.0),05/06/23 11:00:00,A,PC,ARA,ED1,MK,2018,0.0,
